Duration,PowerOriginal,HeartRate,Cadence
1,890.0,111.0,85
1,880.0,112.0,85
1,870.0,113.0,85
1,860.0,114.0,85
1,850.0,115.0,85
1,840.0,116.0,85
1,830.0,117.0,85
1,820.0,118.0,85
1,810.0,119.0,85
1,800.0,120.0,85
1,794.0,120.4,85
1,788.0,120.8,85
1,782.0,121.2,85
1,776.0,121.6,85
1,770.0,122.0,85
1,764.0,122.4,85
1,758.0,122.8,85
1,752.0,123.2,85
1,746.0,123.6,85
1,740.0,124.0,85
1,734.0,124.4,85
1,728.0,124.8,85
1,722.0,125.2,85
1,716.0,125.6,85
1,710.0,126.0,86
1,704.0,126.4,86
1,698.0,126.8,86
1,692.0,127.2,86
1,686.0,127.6,86
1,680.0,128.0,86
1,674.0,128.4,86
1,668.0,128.8,86
1,662.0,129.2,86
1,656.0,129.6,86
1,650.0,130.0,86
1,644.0,130.4,86
1,638.0,130.8,86
1,632.0,131.2,86
1,626.0,131.6,86
1,620.0,132.0,86
1,614.0,132.4,86
1,608.0,132.8,86
1,602.0,133.2,86
1,596.0,133.6,86
1,590.0,134.0,86
1,584.0,134.4,86
1,578.0,134.8,86
1,572.0,135.2,86
1,566.0,135.6,86
1,560.0,136.0,87
1,554.0,136.4,87
1,548.0,136.8,87
1,542.0,137.2,87
1,536.0,137.6,87
1,530.0,138.0,87
1,524.0,138.4,87
1,518.0,138.8,87
1,512.0,139.2,87
1,506.0,139.6,87
1,500.0,140.0,87
1,449.6,145.0,87
1,449.2,145.1,87
1,448.8,145.1,87
1,448.4,145.1,87
1,448.0,145.2,87
1,447.6,145.2,87
1,447.2,145.2,87
1,446.8,145.2,87
1,446.4,145.3,87
1,446.0,145.3,87
1,445.6,145.3,87
1,445.2,145.4,87
1,444.8,145.4,87
1,444.4,145.4,87
1,444.0,145.4,87
1,443.6,145.5,87
1,443.2,145.5,87
1,442.8,145.5,88
1,442.4,145.6,88
1,442.0,145.6,88
1,441.6,145.6,88
1,441.2,145.7,88
1,440.8,145.7,88
1,440.4,145.7,88
1,440.0,145.8,88
1,439.6,145.8,88
1,439.2,145.8,88
1,438.8,145.8,88
1,438.4,145.9,88
1,438.0,145.9,88
1,437.6,145.9,88
1,437.2,146.0,88
1,436.8,146.0,88
1,436.4,146.0,88
1,436.0,146.1,88
1,435.6,146.1,88
1,435.2,146.1,88
1,434.8,146.1,88
1,434.4,146.2,88
1,434.0,146.2,88
1,433.6,146.2,88
1,433.2,146.3,88
1,432.8,146.3,88
1,432.4,146.3,88
1,432.0,146.3,88
1,431.6,146.4,88
1,431.2,146.4,88
1,430.8,146.4,88
1,430.4,146.5,88
1,430.0,146.5,88
1,429.6,146.5,88
1,429.2,146.6,89
1,428.8,146.6,89
1,428.4,146.6,89
1,428.0,146.7,89
1,427.6,146.7,89
1,427.2,146.7,89
1,426.8,146.7,89
1,426.4,146.8,89
1,426.0,146.8,89
1,425.6,146.8,89
1,425.2,146.9,89
1,424.8,146.9,89
1,424.4,146.9,89
1,424.0,146.9,89
1,423.6,147.0,89
1,423.2,147.0,89
1,422.8,147.0,89
1,422.4,147.1,89
1,422.0,147.1,89
1,421.6,147.1,89
1,421.2,147.2,89
1,420.8,147.2,89
1,420.4,147.2,89
1,420.0,147.2,89
1,419.6,147.3,89
1,419.2,147.3,89
1,418.8,147.3,89
1,418.4,147.4,89
1,418.0,147.4,89
1,417.6,147.4,89
1,417.2,147.5,89
1,416.8,147.5,89
1,416.4,147.5,89
1,416.0,147.6,89
1,415.6,147.6,89
1,415.2,147.6,89
1,414.8,147.6,89
1,414.4,147.7,89
1,414.0,147.7,89
1,413.6,147.7,89
1,413.2,147.8,89
1,412.8,147.8,89
1,412.4,147.8,89
1,412.0,147.8,89
1,411.6,147.9,89
1,411.2,147.9,89
1,410.8,147.9,89
1,410.4,148.0,89
1,410.0,148.0,89
1,409.6,148.0,89
1,409.2,148.1,89
1,408.8,148.1,89
1,408.4,148.1,89
1,408.0,148.2,89
1,407.6,148.2,89
