Duration,Distance,OriginalPace,HeartRate,Cadence,PowerOriginal,CalculatedPace,CalculatedStrideLength,CalculatedAerobicEfficiencyPace,CalculatedAerobicEfficiencyPower,CalculatedEfficiencyIndex
1,0.00374,267.4,95,85,129,267.4,2.64,0.039,1.354,3.739
1,0.00715,293.0,96,88,116,293.0,2.33,0.036,1.215,3.413
1,0.01021,326.6,96,80,112,326.6,2.3,0.032,1.165,3.062
1,0.01339,315.1,96,75,125,315.1,2.54,0.033,1.306,3.174
1,0.01611,366.9,96,77,102,366.9,2.12,0.028,1.067,2.725
1,0.01931,313.2,96,83,147,313.2,2.31,0.033,1.527,3.193
1,0.02257,306.4,97,77,111,306.4,2.54,0.034,1.149,3.264
1,0.02619,276.0,97,79,110,276.0,2.75,0.037,1.138,3.624
1,0.02916,336.9,97,85,121,336.9,2.1,0.031,1.25,2.968
1,0.03253,297.1,96,77,125,297.1,2.62,0.035,1.299,3.366
1,0.03587,299.1,97,82,135,299.1,2.45,0.035,1.393,3.343
1,0.03914,306.4,97,79,95,306.4,2.48,0.034,0.983,3.264
1,0.04239,307.7,96,83,128,307.7,2.35,0.034,1.328,3.25
1,0.04577,295.2,97,85,110,295.2,2.39,0.035,1.133,3.387
1,0.04914,296.8,97,83,107,296.8,2.44,0.035,1.102,3.369
1,0.05204,345.3,97,77,114,345.3,2.26,0.03,1.168,2.896
1,0.05573,270.9,98,82,137,270.9,2.7,0.038,1.395,3.692
1,0.05947,267.3,98,83,129,267.3,2.7,0.038,1.313,3.741
1,0.06296,286.7,99,71,122,286.7,2.95,0.035,1.23,3.489
1,0.06577,355.8,99,82,124,355.8,2.06,0.028,1.252,2.811
1,0.06889,320.4,100,88,119,320.4,2.13,0.031,1.192,3.121
1,0.07212,310.3,100,85,108,310.3,2.28,0.032,1.087,3.223
1,0.07555,290.9,100,82,114,290.9,2.52,0.034,1.134,3.437
1,0.07835,357.4,100,80,111,357.4,2.1,0.028,1.103,2.798
1,0.08165,303.4,101,82,129,303.4,2.41,0.033,1.278,3.296
1,0.08448,353.2,101,80,98,353.2,2.12,0.028,0.974,2.831
1,0.08779,301.7,101,89,121,301.7,2.23,0.033,1.194,3.314
1,0.09114,299.0,101,74,128,299.0,2.71,0.033,1.267,3.345
